order_id,order_date,customer_id,city,product,category,quantity,price,cost
1001,2025-01-25,C223,Bangalore,Chair,Furniture,3,7000,5000
1002,2025-04-18,C238,Gurgaon,Laptop,Electronics,3,55000,48000
1003,2025-03-24,C264,Pune,Table,Furniture,2,12000,9000
1004,2025-03-07,C118,Mumbai,Laptop,Electronics,3,55000,48000
1005,2025-03-16,C268,Gurgaon,Chair,Furniture,3,7000,5000
1006,2025-04-01,C139,Noida,Monitor,Electronics,2,15000,12000
1007,2025-01-03,C161,Bangalore,Mouse,Electronics,1,500,300
1008,2025-04-20,C180,Mumbai,Monitor,Electronics,2,15000,12000
1009,2025-01-16,C219,Noida,Laptop,Electronics,1,55000,48000
1010,2025-01-27,C011,Gurgaon,Mouse,Electronics,2,500,300
1011,2025-03-15,C116,Mumbai,Keyboard,Electronics,2,1200,800
1012,2025-01-26,C215,Delhi,Keyboard,Electronics,2,1200,800
1013,2025-03-29,C012,Delhi,Keyboard,Electronics,1,1200,800
1014,2025-01-01,C063,Bangalore,Laptop,Electronics,1,55000,48000
1015,2025-02-05,C178,Mumbai,Table,Furniture,1,12000,9000
1016,2025-02-23,C240,Bangalore,Mouse,Electronics,3,500,300
1017,2025-01-24,C011,Gurgaon,Table,Furniture,3,12000,9000
1018,2025-02-10,C028,Noida,Chair,Furniture,2,7000,5000
1019,2025-02-16,C275,Gurgaon,Monitor,Electronics,3,15000,12000
1020,2025-01-03,C055,Noida,Monitor,Electronics,2,15000,12000
1021,2025-02-10,C008,Mumbai,Laptop,Electronics,3,55000,48000
1022,2025-03-31,C020,Bangalore,Table,Furniture,2,12000,9000
1023,2025-01-29,C019,Delhi,Keyboard,Electronics,2,1200,800
1024,2025-02-21,C295,Gurgaon,Keyboard,Electronics,1,1200,800
1025,2025-03-24,C299,Mumbai,Table,Furniture,2,12000,9000
1026,2025-03-18,C174,Noida,Table,Furniture,2,12000,9000
1027,2025-02-14,C127,Noida,Mouse,Electronics,2,500,300
1028,2025-04-29,C199,Bangalore,Table,Furniture,1,12000,9000
1029,2025-04-17,C113,Mumbai,Table,Furniture,3,12000,9000
1030,2025-03-13,C245,Noida,Table,Furniture,1,12000,9000
1031,2025-02-16,C185,Noida,Laptop,Electronics,3,55000,48000
1032,2025-03-24,C269,Mumbai,Chair,Furniture,2,7000,5000
1033,2025-01-22,C205,Pune,Chair,Furniture,1,7000,5000
1034,2025-04-24,C226,Bangalore,Mouse,Electronics,3,500,300
1035,2025-02-04,C146,Gurgaon,Chair,Furniture,2,7000,5000
1036,2025-01-03,C287,Pune,Mouse,Electronics,2,500,300
1037,2025-03-07,C213,Noida,Table,Furniture,3,12000,9000
1038,2025-01-02,C242,Bangalore,Keyboard,Electronics,3,1200,800
1039,2025-01-14,C224,Mumbai,Monitor,Electronics,2,15000,12000
1040,2025-04-07,C050,Delhi,Keyboard,Electronics,3,1200,800
1041,2025-04-16,C130,Bangalore,Mouse,Electronics,3,500,300
1042,2025-03-29,C081,Gurgaon,Keyboard,Electronics,3,1200,800
1043,2025-02-13,C291,Mumbai,Keyboard,Electronics,1,1200,800
1044,2025-03-28,C145,Noida,Laptop,Electronics,1,55000,48000
1045,2025-01-11,C005,Gurgaon,Mouse,Electronics,1,500,300
1046,2025-01-20,C214,Delhi,Table,Furniture,1,12000,9000
1047,2025-03-05,C296,Noida,Laptop,Electronics,2,55000,48000
1048,2025-02-25,C291,Noida,Laptop,Electronics,1,55000,48000
1049,2025-04-16,C206,Bangalore,Monitor,Electronics,2,15000,12000
1050,2025-05-01,C235,Bangalore,Chair,Furniture,3,7000,5000
